crdb;brand;folder;name;seasons;name_source;seasons_source;prestige_cup_info;remark
Porsche_911GT2RSClubSportSalzburg_2019;Porsche;Porsche 911 GT2 RS Clubsport (991);Porsche 911 GT2 RS Clubsport (991);;repository;;;
Porsche_911GT2RSGold_2017;Porsche;Porsche 911 GT2 RS;Porsche 911 GT2 RS;;repository;;;
Porsche_911GT2RSVIP_2017;Porsche;Porsche 911 GT2 RS 'Weissach Package' (VIP);Porsche 911 GT2 RS Weissach Package;;repository;;;
Porsche_911GT39922_2025;Porsche;Porsche 911 GT3 Weissach Package (992.2);Porsche 911 GT3 Weissach package (992.2);;repository;;;
Porsche_911GT3_2022;Porsche;Porsche 911 GT3 (992);Porsche 911 GT3 (992);;repository;;;
Porsche_911GT3R992_2022;Porsche;Porsche 911 GT3 R (992);Porsche 911 GT3 R (992);;repository;;;
Porsche_911GT3Reward_2018;Porsche;Porsche 911 GT3;Porsche 911 GT3;033;repository;repository;;
Porsche_911GT3RewardRecycled_2018;Porsche;Porsche 911 GT3;Porsche 911 GT3;033;repository;repository;;
Porsche_911GT3RRennsport_2023;Porsche;Porsche 911 GT3 R rennsport;Porsche 911 GT3 R rennsport;;repository;;;
Porsche_911GT3RS992_2023;Porsche;Porsche 911 GT3 RS (992);Porsche 911 GT3 RS (992);;repository;;;
Porsche_911GT3RS992Tribute_2023;Porsche;Porsche 911 GT3 RS Carrera RS 2.7 Tribute (992);Porsche 911 GT3 RS Carrera RS 2.7 Tribute (992);;repository;;;
Porsche_911GT3RS997_2012;Porsche;Porsche 911 GT3 RS 3.8 (997.2);Porsche 911 GT3 RS 3.8 (997.2);;repository;;;
Porsche_911GT3RSCrew_2016;Porsche;#Dana's Porsche 911 GT3 RS;Dana's Porsche 911 GT3 RS;;repository;;;
Porsche_911GT3RSCrewRecycled_2016;Porsche;Porsche 911 GT3 RS;Porsche 911 GT3 RS;;repository;;;
Porsche_911GT3RSReward_2018;Porsche;Porsche 911 GT3 RS 'Weissach Package';Porsche 911 GT3 RS ''Weissach Package'';051;repository;repository;;
Porsche_911GT3RSRewardRecycled_2018;Porsche;Porsche 911 GT3 RS 'Weissach Package';Porsche 911 GT3 RS Weissach Package;051;repository;repository;;
Porsche_911GT3TouringReward_2022;Porsche;Porsche 911 GT3 Touring (992);Porsche 911 GT3 Touring (992);176;repository;repository;;
Porsche_911GT3TouringRewardRecycled_2022;Porsche;Porsche 911 GT3 Touring (992);Porsche 911 GT3 Touring (992);176;repository;repository;;
Porsche_911RReward_2017;Porsche;Porsche 911 R;Porsche 911 R;027;repository;repository;;
Porsche_911RRewardRecycled_2017;Porsche;Porsche 911 R;Porsche 911 R;027;repository;repository;;
Porsche_911RWBReward_1972;Porsche;Porsche RWB 911 (F-Series) NARRO STYLE;Porsche RWB 911 (F-Series) NARRO STYLE;165;repository;repository;;
